,image_path,emotion
0,./train/anger/0.jpg,anger
1,./train/anger/1.jpg,anger
2,./train/anger/10.jpg,anger
3,./train/anger/100.jpg,anger
4,./train/anger/1000.jpg,anger
5,./train/anger/1001.jpg,anger
6,./train/anger/1002.jpg,anger
7,./train/anger/1003.jpg,anger
8,./train/anger/1004.jpg,anger
9,./train/anger/1005.jpg,anger
10,./train/anger/1006.jpg,anger
11,./train/anger/1007.jpg,anger
12,./train/anger/1008.jpg,anger
13,./train/anger/1009.jpg,anger
14,./train/anger/101.jpg,anger
15,./train/anger/1010.jpg,anger
16,./train/anger/1011.jpg,anger
17,./train/anger/1012.jpg,anger
18,./train/anger/1013.jpg,anger
19,./train/anger/1014.jpg,anger
20,./train/anger/1015.jpg,anger
21,./train/anger/1016.jpg,anger
22,./train/anger/1017.jpg,anger
23,./train/anger/1018.jpg,anger
24,./train/anger/1019.jpg,anger
25,./train/anger/102.jpg,anger
26,./train/anger/1020.jpg,anger
27,./train/anger/1021.jpg,anger
28,./train/anger/1022.jpg,anger
29,./train/anger/1023.jpg,anger
30,./train/anger/1024.jpg,anger
31,./train/anger/1025.jpg,anger
32,./train/anger/1026.jpg,anger
33,./train/anger/1027.jpg,anger
34,./train/anger/1028.jpg,anger
35,./train/anger/1029.jpg,anger
36,./train/anger/103.jpg,anger
37,./train/anger/1030.jpg,anger
38,./train/anger/1031.jpg,anger
39,./train/anger/1032.jpg,anger
40,./train/anger/1033.jpg,anger
41,./train/anger/1034.jpg,anger
42,./train/anger/1035.jpg,anger
43,./train/anger/1036.jpg,anger
44,./train/anger/1037.jpg,anger
45,./train/anger/1038.jpg,anger
46,./train/anger/1039.jpg,anger
47,./train/anger/104.jpg,anger
48,./train/anger/1040.jpg,anger
49,./train/anger/1041.jpg,anger
50,./train/anger/1042.jpg,anger
51,./train/anger/1043.jpg,anger
52,./train/anger/1044.jpg,anger
53,./train/anger/1045.jpg,anger
54,./train/anger/1046.jpg,anger
55,./train/anger/1047.jpg,anger
56,./train/anger/1048.jpg,anger
57,./train/anger/1049.jpg,anger
58,./train/anger/105.jpg,anger
59,./train/anger/1050.jpg,anger
60,./train/anger/1051.jpg,anger
61,./train/anger/1052.jpg,anger
62,./train/anger/1053.jpg,anger
63,./train/anger/1054.jpg,anger
64,./train/anger/1055.jpg,anger
65,./train/anger/1056.jpg,anger
66,./train/anger/1057.jpg,anger
67,./train/anger/1058.jpg,anger
68,./train/anger/1059.jpg,anger
69,./train/anger/106.jpg,anger
70,./train/anger/1060.jpg,anger
71,./train/anger/1061.jpg,anger
72,./train/anger/1062.jpg,anger
73,./train/anger/1063.jpg,anger
74,./train/anger/1064.jpg,anger
75,./train/anger/1065.jpg,anger
76,./train/anger/1066.jpg,anger
77,./train/anger/1067.jpg,anger
78,./train/anger/1068.jpg,anger
79,./train/anger/1069.jpg,anger
80,./train/anger/107.jpg,anger
81,./train/anger/1070.jpg,anger
82,./train/anger/1071.jpg,anger
83,./train/anger/1072.jpg,anger
84,./train/anger/1073.jpg,anger
85,./train/anger/1074.jpg,anger
86,./train/anger/1075.jpg,anger
87,./train/anger/1076.jpg,anger
88,./train/anger/1077.jpg,anger
89,./train/anger/1078.jpg,anger
90,./train/anger/1079.jpg,anger
91,./train/anger/108.jpg,anger
92,./train/anger/1080.jpg,anger
93,./train/anger/1081.jpg,anger
94,./train/anger/1082.jpg,anger
95,./train/anger/1083.jpg,anger
96,./train/anger/1084.jpg,anger
97,./train/anger/1085.jpg,anger
98,./train/anger/1086.jpg,anger
99,./train/anger/1087.jpg,anger
100,./train/anger/1088.jpg,anger
101,./train/anger/1089.jpg,anger
102,./train/anger/109.jpg,anger
103,./train/anger/1090.jpg,anger
104,./train/anger/1091.jpg,anger
105,./train/anger/1092.jpg,anger
106,./train/anger/1093.jpg,anger
107,./train/anger/1094.jpg,anger
108,./train/anger/1095.jpg,anger
109,./train/anger/1096.jpg,anger
110,./train/anger/1097.jpg,anger
111,./train/anger/1098.jpg,anger
112,./train/anger/1099.jpg,anger
113,./train/anger/11.jpg,anger
114,./train/anger/110.jpg,anger
115,./train/anger/1100.jpg,anger
116,./train/anger/1101.jpg,anger
117,./train/anger/1102.jpg,anger
118,./train/anger/1103.jpg,anger
119,./train/anger/1104.jpg,anger
120,./train/anger/1105.jpg,anger
121,./train/anger/1106.jpg,anger
122,./train/anger/1107.jpg,anger
123,./train/anger/1108.jpg,anger
124,./train/anger/1109.jpg,anger
125,./train/anger/111.jpg,anger
126,./train/anger/1110.jpg,anger
127,./train/anger/1111.jpg,anger
128,./train/anger/1112.jpg,anger
129,./train/anger/1113.jpg,anger
